strain	designation	gisaid_epi_isl	passage	center	date	month	type	location
A/New_Caledonia/54/2024_dec_o	A/New_Caledonia/54/2024	EPI_ISL_19812889	ORIGINAL	Institut Pasteur New Caledonia	9/12/2024	dec	NA	New Caledonia
A/Canberra/53/2025_jan	A/Canberra/53/2025	EPI_ISL_19812919	SIAT1	Canberra Hospital	21/1/2025	jan	NA	Australia
A/Victoria/225/2025_jan	A/Victoria/225/2025	EPI_ISL_19812973	SIAT1	Monash Medical Centre	23/1/2025	jan	NA	Australia
A/New_Caledonia/64/2024_dec	A/New_Caledonia/64/2024	EPI_ISL_19812900	MDCK1	Institut Pasteur New Caledonia	17/12/2024	dec	NA	New Caledonia
A/Victoria/256/2025_mar_o	A/Victoria/256/2025	EPI_ISL_19813031	ORIGINAL	Royal Chidrens Hospital	4/3/2025	mar	NA	Australia
A/Victoria/151/2025_jan	A/Victoria/151/2025	EPI_ISL_19813009	SIAT1	Monash Medical Centre	4/1/2025	jan	NA	Australia
A/Victoria/121/2025_feb	A/Victoria/121/2025	EPI_ISL_19812950	SIAT1	Royal Melbourne Hospital	6/2/2025	feb	NA	Australia
A/Victoria/156/2025_jan	A/Victoria/156/2025	EPI_ISL_19813020	SIAT1	Monash Medical Centre	11/1/2025	jan	NA	Australia
A/Victoria/163/2025_jan	A/Victoria/163/2025	EPI_ISL_19813028	SIAT1	Monash Medical Centre	16/1/2025	jan	NA	Australia
A/Darwin/278/2025_mar_o	A/Darwin/278/2025	EPI_ISL_19812996	ORIGINAL	Royal Darwin Hospital	2/3/2025	mar	NA	Australia
A/Tasmania/48/2025_feb	A/Tasmania/48/2025	EPI_ISL_19813044	MDCK2	Royal Hobart Hospital	21/2/2025	feb	NA	Australia
A/Canberra/2/2025_jan	A/Canberra/2/2025	EPI_ISL_19812922	MDCK1	Canberra Hospital	1/1/2025	jan	NA	Australia
A/Perth/8/2025_jan	A/Perth/8/2025	EPI_ISL_19812912	MDCK1	Pathwest QE II Medical Centre	21/1/2025	jan	NA	Australia
A/Sydney/44/2025_feb	A/Sydney/44/2025	EPI_ISL_19812899	SIAT1	"Clinical Virology Unit, CDIM"	14/2/2025	feb	NA	Australia
A/Victoria/158/2025_jan	A/Victoria/158/2025	EPI_ISL_19813022	SIAT1	Monash Medical Centre	13/1/2025	jan	NA	Australia
A/Tasmania/30/2025_jan	A/Tasmania/30/2025	EPI_ISL_19813039	MDCK3	Royal Hobart Hospital	21/1/2025	jan	NA	Australia
A/Tasmania/26/2025_jan	A/Tasmania/26/2025	EPI_ISL_19812916	SIAT1	Royal Hobart Hospital	15/1/2025	jan	NA	Australia
A/Victoria/213/2025_jan	A/Victoria/213/2025	EPI_ISL_19812972	SIAT1	Monash Medical Centre	18/1/2025	jan	NA	Australia
A/Tasmania/33/2025_jan	A/Tasmania/33/2025	EPI_ISL_19812947	MDCK1	Royal Hobart Hospital	30/1/2025	jan	NA	Australia
